Building,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
B1,0.361,0.615,0.684,0.7,0.633,0.652,0.612,0.7,0.7,0.7,0.386,0.541,0.411,0.229,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.236,0.355
B2,0.361,0.622,0.53,0.683,0.7,0.568,0.7,0.622,0.52,0.7,0.666,0.535,0.298,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.238,0.429
B3,0.458,0.401,0.7,0.7,0.7,0.7,0.7,0.7,0.581,0.549,0.469,0.387,0.362,0.254,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.249,0.367,0.344
B4,0.272,0.62,0.68,0.7,0.7,0.591,0.7,0.655,0.7,0.7,0.485,0.306,0.331,0.261,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.238,0.322,0.432
B5,0.392,0.463,0.495,0.527,0.56,0.7,0.7,0.7,0.7,0.549,0.536,0.466,0.273,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.327,0.416
B6,0.415,0.64,0.536,0.527,0.685,0.7,0.7,0.7,0.533,0.664,0.545,0.436,0.305,0.217,0.207,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.243,0.387
B7,0.373,0.39,0.68,0.646,0.541,0.679,0.7,0.7,0.645,0.61,0.7,0.352,0.405,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.262,0.269,0.287
B8,0.309,0.541,0.627,0.556,0.7,0.666,0.7,0.686,0.7,0.633,0.698,0.4,0.365,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.447
B9,0.507,0.563,0.599,0.594,0.7,0.7,0.7,0.7,0.7,0.534,0.446,0.567,0.409,0.201,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.335,0.37
B10,0.318,0.543,0.604,0.7,0.7,0.7,0.589,0.682,0.641,0.611,0.671,0.393,0.402,0.295,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.332,0.373
