Node_ID,Node_Type,Demand
Source_1,Source,
Source_2,Source,
Source_3,Source,
junction_main_s1,Junction,
junction_main_s1_1,Junction,
junction_main_s1_10,Junction,
junction_main_s1_11,Junction,
junction_main_s1_12,Junction,
junction_main_s1_13,Junction,
junction_main_s1_14,Junction,
junction_main_s1_15,Junction,
junction_main_s1_16,Junction,
junction_main_s1_17,Junction,
junction_main_s1_18,Junction,
junction_main_s1_19,Junction,
junction_main_s1_2,Junction,
junction_main_s1_20,Junction,
junction_main_s1_21,Junction,
junction_main_s1_22,Junction,
junction_main_s1_23,Junction,
junction_main_s1_24,Junction,
junction_main_s1_25,Junction,
junction_main_s1_3,Junction,
junction_main_s1_4,Junction,
junction_main_s1_5,Junction,
junction_main_s1_6,Junction,
junction_main_s1_7,Junction,
junction_main_s1_8,Junction,
junction_main_s1_9,Junction,
junction_main_s2,Junction,
junction_main_s2_1,Junction,
junction_main_s2_10,Junction,
junction_main_s2_11,Junction,
junction_main_s2_12,Junction,
junction_main_s2_13,Junction,
junction_main_s2_14,Junction,
junction_main_s2_15,Junction,
junction_main_s2_16,Junction,
junction_main_s2_17,Junction,
junction_main_s2_18,Junction,
junction_main_s2_19,Junction,
junction_main_s2_2,Junction,
junction_main_s2_3,Junction,
junction_main_s2_4,Junction,
junction_main_s2_5,Junction,
junction_main_s2_6,Junction,
junction_main_s2_7,Junction,
junction_main_s2_8,Junction,
junction_main_s2_9,Junction,
junction_main_s3,Junction,
junction_main_s3_1,Junction,
junction_main_s3_10,Junction,
junction_main_s3_11,Junction,
junction_main_s3_12,Junction,
junction_main_s3_13,Junction,
junction_main_s3_14,Junction,
junction_main_s3_15,Junction,
junction_main_s3_16,Junction,
junction_main_s3_17,Junction,
junction_main_s3_18,Junction,
junction_main_s3_19,Junction,
junction_main_s3_2,Junction,
junction_main_s3_3,Junction,
junction_main_s3_4,Junction,
junction_main_s3_5,Junction,
junction_main_s3_6,Junction,
junction_main_s3_7,Junction,
junction_main_s3_8,Junction,
junction_main_s3_9,Junction,
junction_second_s1_1,Junction,
junction_second_s1_10,Junction,
junction_second_s1_10_1,Junction,
junction_second_s1_10_10,Junction,
junction_second_s1_10_11,Junction,
junction_second_s1_10_2,Junction,
junction_second_s1_10_3,Junction,
junction_second_s1_10_4,Junction,
junction_second_s1_10_5,Junction,
junction_second_s1_10_6,Junction,
junction_second_s1_10_7,Junction,
junction_second_s1_10_8,Junction,
junction_second_s1_10_9,Junction,
junction_second_s1_11,Junction,
junction_second_s1_11_1,Junction,
junction_second_s1_11_2,Junction,
junction_second_s1_11_3,Junction,
junction_second_s1_11_4,Junction,
junction_second_s1_11_5,Junction,
junction_second_s1_11_6,Junction,
junction_second_s1_12,Junction,
junction_second_s1_12_1,Junction,
junction_second_s1_12_10,Junction,
junction_second_s1_12_2,Junction,
junction_second_s1_12_3,Junction,
junction_second_s1_12_4,Junction,
junction_second_s1_12_5,Junction,
junction_second_s1_12_6,Junction,
junction_second_s1_12_7,Junction,
junction_second_s1_12_8,Junction,
junction_second_s1_12_9,Junction,
junction_second_s1_13,Junction,
junction_second_s1_13_1,Junction,
junction_second_s1_13_2,Junction,
junction_second_s1_13_3,Junction,
junction_second_s1_13_4,Junction,
junction_second_s1_13_5,Junction,
junction_second_s1_13_6,Junction,
junction_second_s1_13_7,Junction,
junction_second_s1_14,Junction,
junction_second_s1_14_1,Junction,
junction_second_s1_14_2,Junction,
junction_second_s1_14_3,Junction,
junction_second_s1_14_4,Junction,
junction_second_s1_14_5,Junction,
junction_second_s1_14_6,Junction,
junction_second_s1_14_7,Junction,
junction_second_s1_15,Junction,
junction_second_s1_15_1,Junction,
junction_second_s1_15_10,Junction,
junction_second_s1_15_11,Junction,
junction_second_s1_15_12,Junction,
junction_second_s1_15_2,Junction,
junction_second_s1_15_3,Junction,
junction_second_s1_15_4,Junction,
junction_second_s1_15_5,Junction,
junction_second_s1_15_6,Junction,
junction_second_s1_15_7,Junction,
junction_second_s1_15_8,Junction,
junction_second_s1_15_9,Junction,
junction_second_s1_16,Junction,
junction_second_s1_16_1,Junction,
junction_second_s1_16_10,Junction,
junction_second_s1_16_11,Junction,
junction_second_s1_16_12,Junction,
junction_second_s1_16_13,Junction,
junction_second_s1_16_2,Junction,
junction_second_s1_16_3,Junction,
junction_second_s1_16_4,Junction,
junction_second_s1_16_5,Junction,
junction_second_s1_16_6,Junction,
junction_second_s1_16_7,Junction,
junction_second_s1_16_8,Junction,
junction_second_s1_16_9,Junction,
junction_second_s1_17,Junction,
junction_second_s1_17_1,Junction,
junction_second_s1_17_10,Junction,
junction_second_s1_17_11,Junction,
junction_second_s1_17_12,Junction,
junction_second_s1_17_13,Junction,
junction_second_s1_17_2,Junction,
junction_second_s1_17_3,Junction,
junction_second_s1_17_4,Junction,
junction_second_s1_17_5,Junction,
junction_second_s1_17_6,Junction,
junction_second_s1_17_7,Junction,
junction_second_s1_17_8,Junction,
junction_second_s1_17_9,Junction,
junction_second_s1_18,Junction,
junction_second_s1_18_1,Junction,
junction_second_s1_18_2,Junction,
junction_second_s1_18_3,Junction,
junction_second_s1_18_4,Junction,
junction_second_s1_19,Junction,
junction_second_s1_19_1,Junction,
junction_second_s1_19_10,Junction,
junction_second_s1_19_11,Junction,
junction_second_s1_19_12,Junction,
junction_second_s1_19_2,Junction,
junction_second_s1_19_3,Junction,
junction_second_s1_19_4,Junction,
junction_second_s1_19_5,Junction,
junction_second_s1_19_6,Junction,
junction_second_s1_19_7,Junction,
junction_second_s1_19_8,Junction,
junction_second_s1_19_9,Junction,
junction_second_s1_1_1,Junction,
junction_second_s1_1_10,Junction,
junction_second_s1_1_2,Junction,
junction_second_s1_1_3,Junction,
junction_second_s1_1_4,Junction,
junction_second_s1_1_5,Junction,
junction_second_s1_1_6,Junction,
junction_second_s1_1_7,Junction,
junction_second_s1_1_8,Junction,
junction_second_s1_1_9,Junction,
junction_second_s1_2,Junction,
junction_second_s1_20,Junction,
junction_second_s1_20_1,Junction,
junction_second_s1_20_10,Junction,
junction_second_s1_20_2,Junction,
junction_second_s1_20_3,Junction,
junction_second_s1_20_4,Junction,
junction_second_s1_20_5,Junction,
junction_second_s1_20_6,Junction,
junction_second_s1_20_7,Junction,
junction_second_s1_20_8,Junction,
junction_second_s1_20_9,Junction,
junction_second_s1_21,Junction,
junction_second_s1_21_1,Junction,
junction_second_s1_21_2,Junction,
junction_second_s1_21_3,Junction,
