Pipe_ID,Start_Node,End_Node,Diameter,Length,Material
P_main_1,Source_1,junction_main_s1,0.26,1122,Steel
P_secondary_s1_1,junction_main_s1_1,junction_second_s1_1,0.17,574,Steel
P_third_s1_1_1,junction_second_s1_1_1,junction_third_s1_1_1,0.14,477,PVC
P_building_s1_1_1_1,junction_third_s1_1_1_1,Building_1,0.09,235,PVC
P_building_s1_1_1_2,junction_third_s1_1_1_2,Building_2,0.1,182,PVC
P_building_s1_1_1_3,junction_third_s1_1_1_3,Building_3,0.08,271,PVC
P_building_s1_1_1_4,junction_third_s1_1_1_4,Building_4,0.1,195,PVC
P_building_s1_1_1_5,junction_third_s1_1_1_5,Building_5,0.1,277,PVC
P_building_s1_1_1_6,junction_third_s1_1_1_6,Building_6,0.09,217,PVC
P_building_s1_1_1_7,junction_third_s1_1_1_7,Building_7,0.09,260,PVC
P_building_s1_1_1_8,junction_third_s1_1_1_8,Building_8,0.09,122,PVC
P_building_s1_1_1_9,junction_third_s1_1_1_9,Building_9,0.1,162,PVC
P_building_s1_1_1_10,junction_third_s1_1_1_10,Building_10,0.09,214,PVC
P_building_s1_1_1_11,junction_third_s1_1_1_11,Building_11,0.09,178,PVC
P_building_s1_1_1_12,junction_third_s1_1_1_12,Building_12,0.09,111,PVC
P_building_s1_1_1_13,junction_third_s1_1_1_13,Building_13,0.1,194,PVC
P_building_s1_1_1_14,junction_third_s1_1_1_14,Building_14,0.1,264,PVC
P_building_s1_1_1_15,junction_third_s1_1_1_15,Building_15,0.09,125,PVC
P_building_s1_1_1_16,junction_third_s1_1_1_16,Building_16,0.09,202,PVC
P_building_s1_1_1_17,junction_third_s1_1_1_17,Building_17,0.08,291,PVC
P_building_s1_1_1_18,junction_third_s1_1_1_18,Building_18,0.08,109,PVC
P_building_s1_1_1_19,junction_third_s1_1_1_19,Building_19,0.1,196,PVC
P_building_s1_1_1_20,junction_third_s1_1_1_20,Building_20,0.09,143,PVC
P_building_s1_1_1_21,junction_third_s1_1_1_21,Building_21,0.09,226,PVC
P_building_s1_1_1_22,junction_third_s1_1_1_22,Building_22,0.09,219,PVC
P_building_s1_1_1_23,junction_third_s1_1_1_23,Building_23,0.08,244,PVC
